SESSION NAME:	MKR S15 TX01.r
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:58:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	90
# OF AUDIO CLIPS:	22766
# OF AUDIO FILES:	8169


T R A C K  L I S T I N G
TRACK NAME:	MUSIC 1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	66      	01 - Hard At Work - J Gray, F Moenks - DBX024.wav.new.01_01-05.A1	   01:23:52:03	   01:23:58:24	   00:00:06:21	Unmuted
1       	67      	83 - Blame On You - C Swift - BKM015.wav.new.01_01-10.A1	   01:24:20:10	   01:24:30:02	   00:00:09:17	Unmuted
1       	68      	83 - Blame On You - C Swift - BKM015.wav.new.01_01-13.A1	   01:24:30:02	   01:24:34:09	   00:00:04:07	Unmuted
1       	69      	83 - Blame On You - C Swift - BKM015.wav.new.01_01-15.A1	   01:24:47:16	   01:24:54:12	   00:00:06:21	Unmuted
1       	70      	83 - Blame On You - C Swift - BKM015.wav.new.01_01-16.A1	   01:24:55:11	   01:25:09:16	   00:00:14:05	Unmuted
1       	71      	28 - City Light Stomp (No Vox) - B Moon - FFM029.wav.new.01_01-07.A1	   01:25:13:24	   01:25:15:19	   00:00:01:20	Unmuted
1       	72      	28 - City Light Stomp (No Vox) - B Moon - FFM029.wav.new.01_01-06.A1	   01:25:15:19	   01:25:23:14	   00:00:07:20	Unmuted
1       	73      	84 - Infinite Love - D Chappell - BKM018.wav.new.01_01-07.A1	   01:25:23:14	   01:25:27:10	   00:00:03:21	Unmuted
1       	74      	84 - Infinite Love - D Chappell - BKM018.wav.new.01_01-05.A1	   01:25:27:10	   01:25:29:05	   00:00:01:20	Unmuted
1       	75      	16 - Gusesha - K Diaz - THH123.wav.new.02_01-04.A1	   01:25:31:18	   01:25:46:00	   00:00:14:07	Unmuted
1       	76      	CASEY BARNES - We're Good Together.wav.Copy.01.new.01_01-03.A1	   01:26:07:06	   01:26:31:01	   00:00:23:20	Unmuted
1       	77      	17 - Into The Sunset - R Crispin, L Davies - BKM002.wav.new.01_01-03.A1	   01:26:36:07	   01:27:02:01	   00:00:25:19	Unmuted
1       	78      	Sabrina Carpenter - 1 - Espresso (CLEAN).wav.new.01_01-05.A1	   01:27:03:09	   01:27:33:09	   00:00:30:00	Unmuted
1       	79      	BMGPM_2FM062_017_Down_To_Business_underscore__Farmer.wav.new.01_01-03.A1	   01:27:41:05	   01:27:44:19	   00:00:03:14	Unmuted
1       	80      	BMGPM_2FM062_017_Down_To_Business_underscore__Farmer.wav.new.02_01-04.A1	   01:27:44:19	   01:27:51:16	   00:00:06:22	Unmuted
1       	81      	08 - Neutral Tension Bed - T Hewson - CRB105.wav.new.01_01-05.A1	   01:27:54:03	   01:28:22:17	   00:00:28:14	Unmuted
1       	82      	04 - Confidential Kitchen - B Howells - NLM118.wav.new.01_01-03.A1	   01:29:02:10	   01:29:16:11	   00:00:14:01	Unmuted
1       	83      	04 - Colour Spectrum - C White - NLM213.wav.new.01_01-03.A1	   01:29:24:23	   01:29:37:14	   00:00:12:16	Unmuted
1       	84      	04 - Colour Spectrum - C White - NLM213.wav.new.03_01-03.A1	   01:29:46:12	   01:29:49:14	   00:00:03:01	Unmuted
1       	85      	81 - Split Second - T Gire - BXM639.wav.new.04_01-03.A1	   01:29:50:19	   01:29:57:22	   00:00:07:03	Unmuted
1       	86      	81 - Split Second - T Gire - BXM639.wav.new.06_01-03.A1	   01:30:01:21	   01:30:06:20	   00:00:04:24	Unmuted
1       	87      	MKRS12_NEUTRAL COOK_CREATING_317_BR_FULL.wav.wav.new.01_01-04.A1	   01:30:13:01	   01:30:18:06	   00:00:05:05	Unmuted
1       	88      	MKRS12_NEUTRAL COOK_CREATING_317_BR_LITE.wav.wav.new.01_01-03.A1	   01:30:25:09	   01:30:34:05	   00:00:08:21	Unmuted
1       	89      	MKRS12_COOK_STEP_UP_YOUR_GAME_008_AA_FULL.wav.wav.new.01_01-03.A1	   01:30:44:09	   01:31:03:07	   00:00:18:23	Unmuted
1       	90      	12 - Anxious Antagonist - J Van Diepen - BKM015.wav.new.03_01-03.A1	   01:31:56:03	   01:31:58:08	   00:00:02:05	Unmuted
1       	91      	54 - Building Intensity D (Alt) - L Miller - CRB060.wav.new.01_01-06.A1	   01:32:08:07	   01:32:20:07	   00:00:12:00	Unmuted
1       	92      	54 - Building Intensity D (Alt) - L Miller - CRB060.wav.new.03_01-03.A1	   01:32:31:19	   01:32:37:21	   00:00:06:02	Unmuted
1       	93      	53 - Distorted Truth (Underscore, No Piano Melody) - S Patterson - ALSO008.wav.new.02_01-03.A1	   01:32:49:08	   01:33:02:10	   00:00:13:02	Unmuted
1       	94      	Tiësto & Tears For Fears & NIIKO X SWAE & GUDFELLA - Rule The World (Everybody).wav.new.02_01-07.A1	   01:33:02:10	   01:33:04:09	   00:00:01:24	Unmuted
1       	95      	Tiësto & Tears For Fears & NIIKO X SWAE & GUDFELLA - Rule The World (Everybody).wav.new.03_01-03.A1	   01:33:04:09	   01:33:08:02	   00:00:03:18	Unmuted
1       	96      	Tiësto & Tears For Fears & NIIKO X SWAE & GUDFELLA - Rule The World (Everybody).wav.new.01_01-03.A1	   01:33:08:02	   01:33:11:01	   00:00:02:24	Unmuted
1       	97      	BMGPM_SC232_006_D.U.M.B._inst__Kidonis_Zopke.wav.new.01_01-03.A1	   01:33:35:13	   01:33:39:13	   00:00:04:00	Unmuted
1       	98      	BMGPM_SC232_006_D.U.M.B._inst__Kidonis_Zopke.wav.new.02_01-03.A1	   01:33:39:13	   01:33:41:14	   00:00:02:01	Unmuted
1       	99      	BMGPM_SC232_006_D.U.M.B._inst__Kidonis_Zopke.wav.new.03_01-04.A1	   01:33:41:14	   01:33:55:00	   00:00:13:11	Unmuted
1       	100     	91 - Fury & Tempest - J Van Diepen - BKM012.wav.new.04_01-03.A2	   01:34:21:05	   01:34:22:08	   00:00:01:03	Unmuted
1       	101     	91 - Fury & Tempest - J Van Diepen - BKM012.wav.new.02_01-03.A1	   01:34:33:04	   01:34:38:11	   00:00:05:07	Unmuted
1       	102     	02 - Building Tension (Underscore) - P Ruske - DBX003.wav.new.03_01-03.A1	   01:34:39:08	   01:34:44:23	   00:00:05:15	Unmuted
1       	103     	01 - Beds Of Tension - O Spink, C White - CRB067.wav.new.01_01-04.A1	   01:34:55:04	   01:35:03:11	   00:00:08:07	Unmuted
1       	104     	01 - Beds Of Tension - O Spink, C White - CRB067.wav.new.01_01-05.A1	   01:35:03:11	   01:35:07:06	   00:00:03:20	Unmuted
1       	105     	34 - Beds Of Tension B (Underscore) - O Spink, C White - CRB067.wav.new.02_01-03.A1	   01:35:14:23	   01:35:22:03	   00:00:07:05	Unmuted
1       	106     	MKRS12_COOK_SPICE GRINDER_1106v2_RC_FULL.wav.wav.new.01_01-17.A1	   01:35:42:05	   01:35:56:14	   00:00:14:09	Unmuted
1       	107     	MKRS12_COOK_SPICE GRINDER_1106v2_RC_FULL.wav.wav.new.01_01-13.A1	   01:36:00:14	   01:36:06:16	   00:00:06:02	Unmuted
1       	108     	17 - Holding Out - D Norlo, M Wells - DBX002.wav.Copy.01.new.01_01-03.A1	   01:36:18:20	   01:37:03:13	   00:00:44:18	Unmuted
1       	109     	22 - Pressure Builds - M Beattie - PMOL234.wav.new.01_01-04.A1	   01:37:07:23	   01:37:15:15	   00:00:07:17	Unmuted
1       	110     	22 - Pressure Builds - M Beattie - PMOL234.wav.new.01_01-05.A1	   01:37:24:12	   01:37:46:20	   00:00:22:08	Unmuted
1       	111     	06 - Chewing Pens - R Chorzelski - RSM440.wav.new.02_01-05.A1	   01:37:54:19	   01:38:07:11	   00:00:12:17	Unmuted
1       	112     	06 - Chewing Pens - R Chorzelski - RSM440.wav.new.02_01-06.A1	   01:38:11:13	   01:38:13:06	   00:00:01:18	Unmuted
1       	113     	BF_403_TK001_TOUGH_COMPETITION_James_Brown_Beats_Fresh_Music.mp3.new.03_01-03.A1	   01:38:24:12	   01:38:42:05	   00:00:17:18	Unmuted
1       	114     	32 - Counting With Caution B (Underscore) - R Dutnall - CRB060.wav.new.01_01-03.A1	   01:39:28:05	   01:39:52:24	   00:00:24:19	Unmuted
1       	115     	05 - Ticking Tension - C White - CRB060.wav.new.01_01-03.A1	   01:39:56:15	   01:40:12:18	   00:00:16:03	Unmuted
1       	116     	05 - Ticking Tension - C White - CRB060.wav.new.02_01-03.A1	   01:40:12:18	   01:40:19:03	   00:00:06:10	Unmuted
1       	117     	22 - Admission (Alternative) - R Chorzelski - RSM440.wav.new.01_01-05.A1	   01:40:22:23	   01:40:52:22	   00:00:29:24	Unmuted
1       	118     	MKRS12_NEUTRAL TO POSITIVE_ON POINT_1111_RC_KEYS.wav.wav.new.01-03.A1	   01:40:57:04	   01:41:05:07	   00:00:08:03	Unmuted
1       	119     	MKRS12_NEUTRAL TO POSITIVE_ON POINT_1111_RC_KEYS.wav.wav.new.01-04.A1	   01:41:19:01	   01:41:21:01	   00:00:02:00	Unmuted
1       	120     	MKRS12_TENSION_SOMETHINGS WRONG_214_DH_FULL.wav.wav.new.01_01-11.A1	   01:41:28:06	   01:41:41:13	   00:00:13:07	Unmuted
1       	121     	XRC033_06 ALL IN A DAYS WORK.WAV.new.01_01-03.A1	   01:42:07:19	   01:42:22:20	   00:00:15:01	Unmuted
1       	122     	MKRS12_LITE-TENSION_BACK TO WORK_324_BR_FULL.wav.wav.new.01_01-04.A1	   01:42:26:19	   01:43:03:20	   00:00:37:01	Unmuted
